task number,coustumerName,address,telephone,creationTime,FRZ,כמות,level,toolshed,vipCustomer,due date,WindowToSupply,timeToFix,decripation
104,קאיה בית שמש,"מרכז מסחרי 47, בית שמש",08-6102533,23/03/2016,400,200,50%,yes,no,13/05/2016,10:00,01:30,
105,בסט מרקט בית שמש,"נחל דולב 19, בית שמש",054-6733674,16/03/2016,90,50,56%,yes,no,13/05/2016,08:00,01:30,
106,יינות ביתן בית שמש,"יגאל אלון 1, בית שמש",050-7301807,03/02/2016,65,60,92%,yes,no,13/05/2016,08:00,01:30,
107,שופרסל דיל בית שמש,"העליה 1, בית שמש",052-6581118,24/02/2016,90,70,78%,yes,no,13/05/2016,08:00,01:30,
108,הבית של פיסטוק קניון בית שמש,"דרך יצחק רבין 2, בית שמש",052-3031730,23/03/2016,160,100,63%,yes,no,13/05/2016,10:00,01:30,
109,פיצוציית חיים בית שמש,"דרך יצחק רבין 7, בית שמש",054-3222262,23/03/2016,90,45,50%,yes,no,13/05/2016,07:00,01:30,
110,קפה קובו בית שמש,הרצל 4ף בית שמש,052-7444549,16/03/2016,65,35,54%,yes,no,13/05/2016,07:00,01:30,
111,גת קדן מרכז מסחרי בית שמש,"מרכז מסחרי 60, בית שמש",052-7202119,23/03/2016,160,140,88%,yes,no,13/05/2016,08:00,01:30,[החלפת מנורה]
112,פז בית שמש הצומת (לירן),"יגאל אלון 28, בית שמש",052-7777100,23/03/2016,218,120,55%,yes,no,13/05/2016,06:00,01:30,
113,פיצוציית הגבעה בית שמש,"שדרות הדקל 13, בית שמש",08-8584054,16/03/2016,240,220,92%,yes,no,13/05/2016,10:00,01:30,
114,בכיפשלנו בית שמש,"הנורית 2, בית שמש",052-2917901,17/02/2016,65,60,92%,yes,no,13/05/2016,06:00,01:30,
115,הפרגולה בית שמש,"רבי יהודה צדקה 3, בית שמש",08-6347281,24/03/2016,90,45,50%,yes,no,13/05/2016,08:00,01:30,
116,דור אלון בני דרום,"כביש 42, צומת בני דרום",02-5791875,16/03/2016,65,40,62%,yes,no,13/05/2016,06:00,01:30,
117,דלק יבנה,"דרך הים 34, יבנה",050-5219535,16/03/2016,400,250,63%,yes,no,13/05/2016,06:00,01:30,
118,אלון מתנח יבנה (ביילסול),"כביש מס 4, מחלף יבנה",02-5330333,09/03/2016,250,200,80%,yes,no,13/05/2016,06:00,01:30,
119,פז רשף יבנה (שמעון),"שדרות הסנהדרין, יבנה",052-2679500,16/03/2016,465,260,56%,yes,no,13/05/2016,06:00,01:30,
120,בית המשקאות של אביב יבנה,"האומן 17, יבנה",052-5193339,23/03/2016,65,60,92%,yes,no,13/05/2016,09:00,01:30,
121,בייבי מזוז יבנה,"שבזי 7, יבנה",050-5900117,28/10/2015,40,40,100%,yes,no,13/05/2016,08:00,01:30,
122,מזוז יבנה,"האומ 1, יבנה",050-9229940,25/01/2016,90,70,78%,yes,no,13/05/2016,06:00,01:30,
123,אלון שער יבנה (ביילסול),"דרך יבנה, שער יבנה",054-9733861,02/03/2016,240,160,67%,yes,no,13/05/2016,06:00,01:30,
124,שדרת היין יבנה,"שדרות סנהדרין 34, יבנה",02-6564456,16/03/2016,100,60,60%,yes,no,13/05/2016,10:00,01:30,
125,סופר אלונית אשדוד,"האורגים 26 , אשדוד",050-7744751,23/03/2016,490,240,49%,yes,no,13/05/2016,06:00,01:30,
126,לב המפגש אשדוד,"דוד המלך 20, אשדוד",02-6568848,16/03/2016,65,40,62%,yes,no,13/05/2016,07:00,01:30,
127,מינימרקט השלום אשדוד,"דוד וולפסון 1, אשדוד", 054-5408066,13/01/2016,65,45,69%,yes,no,13/05/2016,06:00,01:30,
128,קיוסק בומרנג,"תל חי 19, אשדוד",02-5702914,23/03/2016,160,80,50%,yes,no,13/05/2016,09:00,01:30,
129,מחסני להב אשדוד,"שוהם 2, אשדוד",02-5734278,10/02/2016,90,70,78%,yes,no,13/05/2016,07:00,01:30,
130,פנינת שער לים אשדוד,"שוהם 2, אשדוד",02-5734394,02/03/2016,65,35,54%,yes,no,13/05/2016,10:00,01:30,
131,פיצוציית טווינס אשדוד,"מרכז מסחרי ד 115, אשדוד",054-7726204,16/03/2016,65,30,46%,yes,no,13/05/2016,09:00,01:30,
132,קיוסק רחמים אשדוד,"משה אבן עזרא 23, אשדוד",02-5836146,23/03/2016,65,35,54%,yes,no,13/05/2016,08:00,01:30,
133,סופר מזל אשדוד,"זלמן ארן 13, אשדוד",052-7460008,17/02/2016,65,40,62%,yes,no,13/05/2016,10:00,01:30,
134,על הדרך אשדוד,"קיבוץ גוליות 1, אשדוד",055-6602518,09/03/2016,65,50,77%,yes,no,13/05/2016,09:30,01:30,
135,סדש נמל אשדוד,דרך הנמל באשדוד,08-6487576,24/02/2016,65,50,77%,yes,no,13/05/2016,06:00,01:30,
136,פז ניר גלים (אלי),"צומת ניר גלים, אשדוד",08-6419628,09/03/2016,160,50,31%,yes,no,13/05/2016,06:00,01:30,
137,סופר אלונית משען,"כביש 35, משען",054-6733783,09/03/2016,400,100,25%,yes,no,13/05/2016,06:00,01:30,
138,סבן אמונים תדלוק,כביש 3711 אמונים,054-6733524 ,,,90,,yes,yes,13/05/2016,06:00,01:30,[+מקפיא 400][-]
139,פז אשקלון גלים (שמעון),"צה""ל 8, אשקלון",08-9107310,16/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
140,דלק מבקיעים,המשתלה מבקיעים,08-6272685,02/03/2016,240,150,63%,yes,no,13/05/2016,06:00,01:30,
141,גל חוף אשקלון,"החיטה 166, אשקלון",08-6497676,02/03/2016,128,60,47%,yes,no,13/05/2016,06:00,01:30,
142,אלון קבוצת יבנה,כביש 41 קבוצת יבנה,08-6102533,09/02/2016,160,160,100%,yes,no,13/05/2016,06:00,01:30,
143,סדש ביצרון,אזור תעשייה כנות,054-6733674,09/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
144,מיסטר זול גדרה,"שדרות מנחם בגין 40, גדרה",050-7301807,14/10/2015,40,30,75%,yes,no,13/05/2016,08:00,01:30,
145,סונול חמי יואב,"שדה יואב 1001, שדה יואב",052-6581118,10/02/2016,160,80,50%,yes,no,13/05/2016,06:00,01:30,
146,סונול נהורה,"עזרא ציון, 1010 נהורה",052-3031730,09/03/2016,240,150,63%,yes,no,13/05/2016,06:00,01:30,
147,סונול ק. גת,"דרך הדרום 2, קריית גת",054-3222262,16/03/2016,160,160,100%,yes,no,13/05/2016,06:00,01:30,
148,מינימרקט עדן ק. גת,"הגבורה 28, קרית גת",052-7444549,24/02/2016,160,40,25%,yes,no,13/05/2016,08:30,01:30,
149,שר המשקים ק. גת,"שד' מלכי ישראל 178, קריית גת",052-7202119,24/03/2016,200,80,40%,yes,no,13/05/2016,10:00,01:30,
150,בר פיצוציית האושר ק.גת,"שד' העצמאות 49, קריית גת",052-7777100,16/03/2016,240,200,83%,yes,no,13/05/2016,09:00,01:30,
151,דלק הקריה,"שדרות צורן 13, קריית גת",08-8584054,16/03/2016,65,45,69%,yes,no,13/05/2016,06:00,01:30,
152,דלק מנוחה,צומת קומממיות,052-2917901,16/03/2016,160,70,44%,yes,no,13/05/2016,06:00,01:30,
153,סונול פלוגות,צומת פלוגות 998 קרית גת,08-6347281,02/03/2016,160,80,50%,yes,no,13/05/2016,06:00,01:30,
154,דור אלון ניר בנים,"ניר בנים, 79525",02-5791875,,,160,,yes,yes,13/05/2016,06:00,01:30,[+מקפיא 30][-]
155,דלק נחשון,חשון 7 בית שמש,050-5219535,02/03/2016,465,300,65%,yes,no,13/05/2016,06:00,01:30,
156,דלק יד בנימין,"אליזבט ברגנר 10 ת""א",02-5330333,24/02/2016,90,45,50%,yes,no,13/05/2016,07:00,01:30,
157,"שופרסל אקספרס מרמורק ת""א","זריצקי 4, תל אביב יפו",052-2679500,26/10/2015,,70,,yes,yes,13/05/2016,06:00,01:30,[+מקפיא 300][-]
158,איי אם פי אם בוגרשוב,"בוגרשוב 49, תל אביב יפו",052-5193339,17/03/2016,128,80,63%,yes,no,13/05/2016,06:00,01:30,[החלפת מנורה]
159,איי אם פי אם בן יהודה,"בוגרשוב 49, תל אביב יפו",050-5900117,16/03/2016,160,70,44%,yes,no,13/05/2016,06:00,01:30,
160,"איי אם פי אם ז'בוטינסקי ת""א","אבן גבירול 136, תל אביב יפו",050-9229940,22/03/2016,128,60,47%,yes,no,13/05/2016,14:00,01:30,
161,"קיוסק קונדל ת""א","אבן גבירול 107, ת""א",054-9733861,16/03/2016,65,35,54%,yes,no,13/05/2016,09:30,01:30,
162,הראשון בירקון,"ירקון 22, תל אביב יפו",02-6564456,09/03/2016,90,45,50%,yes,no,13/05/2016,09:00,01:30,
163,מפגש דרור,"הירקון 106, ת""א",050-7744751,17/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
164,דרגסטור פרישמן 61,"פרישמן 61, תל אביב יפו",02-6568848,09/03/2016,65,30,46%,yes,no,13/05/2016,06:00,01:30,
165,"מכולת אלנבי ת""א","אלנבי 115, תל אביב יפו", 054-5408066,01/10/2015,,30,,yes,no,13/05/2016,07:00,01:30,
166,"סנדביץ בר מילניום ת""א","יפת 13, ת""א",02-5702914,03/03/2016,160,30,19%,yes,no,13/05/2016,07:00,01:30,
167,אלון המסגר,"בהמסגר 24, תל אביב",02-5734278,01/03/2016,90,60,67%,yes,no,13/05/2016,06:00,01:30,
168,"קיוסק בר יהודה הלוי ת""א","יהודה הלוי 95, תל אביב",02-5734394,12/11/2015,40,40,100%,yes,no,13/05/2016,07:00,01:30,
169,דור אלון שונצינו,"בשונצינו 5, תל אביב",054-7726204,22/03/2016,240,180,75%,yes,yes,13/05/2016,06:00,01:30,[+מידי][-]
170,"פינת התושיה ת""א","שונצינו 12, ת""א",02-5836146,03/03/2016,65,35,54%,yes,no,13/05/2016,07:00,01:30,
171,"ויקטורי ת""א אחד העם","אחד העם 13, תל אביב",052-7460008,22/03/2016,160,60,38%,yes,no,13/05/2016,06:00,01:30,
172,"אול אין ת""א","הברזל 1, תל אביב יפו",055-6602518,16/03/2016,40,30,75%,yes,no,13/05/2016,07:00,01:30,
173,קליית חממה המסגר,"היצירה 20, רמת גן",08-6487576,23/03/2016,65,45,69%,yes,no,13/05/2016,07:00,01:30,
174,"פיצוציית הר ציון ת""א","פללורנטין 46, ת""א",08-6419628,23/03/2016,65,30,46%,yes,no,13/05/2016,07:00,01:30,
175,"סיטי מרקט הר ציון ת""א","דרות הר ציון 45, תל אביב יפו",054-6733783,16/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
176,מפגש החברים סלמה 151,"דרך שלמה 151, תל אביב יפו",054-6733524 ,22/03/2016,160,80,50%,yes,no,13/05/2016,06:00,01:30,
177,מכולת יצחק,"בעוזיאל 73, רמת גן",08-9107310,16/03/2016,40,30,75%,yes,no,13/05/2016,10:30,01:30,
178,דרגון,"בלוינסקי 48, תל אביב",08-6272685,16/03/2016,160,50,31%,yes,no,13/05/2016,06:00,01:30,
179,"הפינה המתוקה שירן ת""א","האומן 17, ת""א",08-6497676,09/03/2016,,30,,yes,no,13/05/2016,06:00,01:30,
180,פז קיבוץ גלויות (רועי),"דרך הטייסים, תל אביב יפו",08-6102533,22/03/2016,352,200,57%,yes,no,13/05/2016,06:00,01:30,
181,סופר מכולת רימון,"שמחה הולצברג 7, תל אביב יפו",054-6733674,17/03/2016,65,50,77%,yes,no,13/05/2016,10:00,01:30,
182,"אואזיס ת""א","מונטיפיורי 17, תל אביב יפו",050-7301807,23/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
183,סונול משגב," בן צבי 84 , תל אביב יפו",052-6581118,10/03/2016,160,80,50%,yes,no,13/05/2016,06:00,01:30,
184,פופה טבקו אשקלון (עמי),"צה""ל 13, אשקלון",052-3031730,23/03/2016,90,45,50%,yes,no,13/05/2016,08:30,01:30,
185,"דור אלון צה""ל","בצה""ל 29, אשקלון ",054-3222262,27/01/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
186,דלק קולנוע אסתר,"שיבת ציון 30, אשקלון ",052-7444549,23/03/2016,65,50,77%,yes,no,13/05/2016,06:00,01:30,
187,פיצוחי גיל אשקלון,"העצמאות 18, אשקלון",052-7202119,23/03/2016,280,100,36%,yes,no,13/05/2016,06:00,01:30,
188,מינימרקט לב העיר אשקלון,"ההסתדרות 460, אשקלון",052-7777100,17/02/2016,40,30,75%,yes,no,13/05/2016,06:00,01:30,
189,פיצוציית התאומים אשקלון,"גיורא יוספטל 2, אשקלון",08-8584054,16/03/2016,90,45,50%,yes,no,13/05/2016,06:00,01:30,
190,מינימרקט ורד אשקלון,"גדוד הפורצים 1, אשקלון",052-2917901,16/03/2016,65,40,62%,yes,no,13/05/2016,07:00,01:30,
191,מינימרקט בן דוד אשקלון,"העבודה 280, אשקלון",08-6347281,09/03/2016,65,60,92%,yes,no,13/05/2016,08:00,01:30,
192,קוויק סטופ ברזילי (2015),"ההיסתדרות 3, אשקלון",02-5791875,09/03/2016,65,65,100%,yes,no,13/05/2016,06:00,01:30,
193,פינת המזל אשקלון,"מרכז נפתי 7, אשקלון",050-5219535,23/03/2016,240,220,92%,yes,no,13/05/2016,09:00,01:30,
194,ממתקי הסיטי אשקלון,"שד' בן גוריון 9, אשקלון",02-5330333,23/03/2016,65,65,100%,yes,no,13/05/2016,09:00,01:30,
195,טוטו טוסט אשקלון,"זאבי רחבעם 4, אשקלון",052-2679500,25/11/2015,160,120,75%,yes,no,13/05/2016,06:00,01:30,
196,הפיצוחיה אשקלון,"הרצל 34, אשקלון",052-5193339,23/03/2016,160,160,100%,yes,no,13/05/2016,08:00,01:30,
197,קוויק סטופ מרינה (2015),"פה נוף 5, אשקלון",050-5900117,16/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
198,קיוסק דלי קרים,"העצמאות 6, אשקלון",050-9229940,16/03/2016,130,50,38%,yes,no,13/05/2016,06:00,01:30,
199,מינימרקט האחים אשקלון,"באיילה 9, אשקלון",054-9733861,02/03/2016,65,50,77%,yes,no,13/05/2016,06:00,01:30,
200,קופי שופ אשקלון,"יפה נוף 1, אשקלון",02-6564456,17/02/2016,,40,,yes,no,13/05/2016,07:30,01:30,
201,פז אקסודוס (גבריאלי),"אקסודוס 6, אשקלון",050-7744751,16/03/2016,192,80,42%,yes,no,13/05/2016,06:00,01:30,
202,קפה בלה אשקלון,"הנשיא 82, אשקלון",02-6568848,16/03/2016,65,30,46%,yes,no,13/05/2016,06:00,01:30,
203,קמפוס חנות נוחות אשקלון,"גוש עציון 2, אשקלון", 054-5408066,16/03/2016,65,35,54%,yes,no,13/05/2016,06:00,01:30,
204,מפגש הזהב אשקלון,"ברמז דוד 57, אשקלון",02-5702914,23/03/2016,160,100,63%,yes,no,13/05/2016,06:30,01:30,
205,מיקה הדרי אשקלון,"אבן עזרא 64, אשקלון ",02-5734278,09/03/2016,160,100,63%,yes,no,13/05/2016,06:00,01:30,
206,פינת הזהב אשקלון,"צפניה 8, אשקלון",02-5734394,02/03/2016,160,120,75%,yes,no,13/05/2016,06:00,01:30,
207,קוויק סטופ אפרידר (2015),"צפניה 10, אשקלון",054-7726204,09/03/2016,240,220,92%,yes,no,13/05/2016,06:00,01:30,
208,אדון המשקאות אשקלון,"העבודה 68, אשקלון",02-5836146,,,70,,yes,yes,13/05/2016,09:00,01:30,[+מקפיא 300][-]
